item_id,name,value
239,Type,Ambitie
239,Level,Tactisch Niveau
239,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
240,Theme,2. Structuur & Stedenbouwkunde
240,Area,Heel Amsterdam
240,Type,Uitgangspunt
240,Level,Tactisch Niveau
240,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
241,Theme,2. Structuur & Stedenbouwkunde
241,Area,Heel Amsterdam
241,Type,Uitgangspunt
241,Level,Tactisch Niveau
241,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
242,Theme,2. Structuur & Stedenbouwkunde
242,Area,Heel Amsterdam
242,Type,Uitgangspunt
242,Level,Tactisch Niveau
242,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
243,Theme,3. Netwerken & Profielen
243,Theme,5. Fiets
243,Theme,4. Voetganger
243,Area,Heel Amsterdam
243,Type,Uitgangspunt
243,Level,Tactisch Niveau
243,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
244,Theme,7. Auto
244,Theme,3. Netwerken & Profielen
244,Area,Heel Amsterdam
244,Type,Uitgangspunt
244,Level,Tactisch Niveau
244,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
245,Theme,13. Sport & Spel
245,Area,Heel Amsterdam
245,Type,Uitgangspunt
245,Level,Tactisch Niveau
245,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
246,Theme,13. Sport & Spel
246,Theme,2. Structuur & Stedenbouwkunde
246,Area,Heel Amsterdam
246,Type,Uitgangspunt
246,Level,Tactisch Niveau
246,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
247,Theme,13. Sport & Spel
247,Area,Heel Amsterdam
247,Type,Uitgangspunt
247,Level,Tactisch Niveau
247,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
248,Theme,3. Netwerken & Profielen
248,Theme,9. Verhardingen
248,Theme,12. Groen
248,Area,Heel Amsterdam
248,Type,Uitgangspunt
248,Level,Tactisch Niveau
248,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
249,Theme,4. Voetganger
249,Area,Heel Amsterdam
249,Type,Uitgangspunt
249,Level,Tactisch Niveau
249,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
250,Theme,3. Netwerken & Profielen
250,Area,Heel Amsterdam
250,Type,Uitgangspunt
250,Level,Tactisch Niveau
